domain,url,bias_rating,factual_reporting_rating
boston globe,https://www.bostonglobe.com/,-11,HIGH
boston herald,http://www.bostonherald.com/,9,HIGH
boy genius report (bgr),http://bgr.com/,-10,HIGH
breaking defense,http://breakingdefense.com/,13,HIGH
breakthrough institute,https://thebreakthrough.org,8,HIGH
brennan center for justice,https://www.brennancenter.org/,-15,HIGH
bridge magazine,http://www.bridgemi.com,-2,HIGH
brief.news,http://www.brief.news/,-1,HIGH
brookings institute,https://www.brookings.edu/,-14,VERY HIGH
buffalo news,http://www.buffalonews.com/,-12,HIGH
bulletin of the atomic scientists,http://thebulletin.org/,-5,VERY HIGH
bullshido,http://www.bullshido.net/,-3,HIGH
business 2 community,http://www.business2community.com/,-2,HIGH
business insider,http://www.businessinsider.com/,-11,HIGH
bust magazine,http://bust.com/,-23,HIGH
bustle magazine,https://www.bustle.com/,-14,HIGH
c-span,http://www.c-span.org/,-1,VERY HIGH
calgary herald,http://calgaryherald.com/,-13,HIGH
calgary sun,http://www.calgarysun.com/,13,HIGH
california political review,http://www.capoliticalreview.com/,14,HIGH
calwatchdog.com,https://calwatchdog.com,-8,HIGH
canadaland,http://www.canadalandshow.com,-13,HIGH
canadian dimension,https://canadiandimension.com/,-18,HIGH
canadian jewish news (cjn),http://www.cjnews.com/,10,HIGH
canadian public affairs channel (cpac),http://www.cpac.ca/,-1,HIGH
canadian taxpayers federation,http://www.taxpayer.com/,15,HIGH
cape cod times,http://www.capecodtimes.com,-4,HIGH
capital gazette,http://www.capitalgazette.com/,-12,HIGH
capitol fax,https://capitolfax.com,-3,HIGH
carbonated tv,http://www.carbonated.tv/,-26,HIGH
caribbean life news,https://www.caribbeanlifenews.com/,-13,HIGH
carnegie endowment for international peace,http://carnegieendowment.org/,-5,VERY HIGH
carolina public press,http://carolinapublicpress.org/,-12,HIGH
casper star-tribune,http://trib.com,1,HIGH
castanet,http://www.castanet.net/,-4,HIGH
cato institute,http://www.cato.org/,17,HIGH
cbc news (canadian broadcasting),http://www.cbc.ca/news,-12,HIGH
cbs news,http://www.cbsnews.com/,-12,HIGH
cctv america,http://www.cctv-america.com/,-10,HIGH
center for a new american security,http://www.cnas.org/,-4,HIGH
center for a stateless society,https://c4ss.org/,15,HIGH
center for advanced defense studies,http://c4ads.org/,1,VERY HIGH
center for american progress,https://www.americanprogress.org/,-23,HIGH
center for democracy and technology,https://cdt.org,-2,HIGH
center for global development,http://www.cgdev.org/,-4,VERY HIGH
center for inquiry,http://www.centerforinquiry.net/,-1,VERY HIGH
center for international policy,https://www.ciponline.org/,-11,VERY HIGH
center for media and democracy (pr watch),http://www.prwatch.org/cmd,-21,HIGH
center for popular democracy,http://populardemocracy.org/,-16,HIGH
center for public integrity,https://www.publicintegrity.org/,-3,VERY HIGH
center for responsive politics (open secrets),http://www.opensecrets.org/,-1,VERY HIGH
center for strategic and international studies,https://www.csis.org/,-4,VERY HIGH
center for the national interest,http://cftni.org/,10,HIGH
change.org,https://www.change.org/,-21,HIGH
charleston gazette-mail,http://www.wvgazettemail.com/,-10,HIGH
charlotte observer,http://www.charlotteobserver.com/,-13,HIGH
check your fact,http://checkyourfact.com/,9,HIGH
chicago reader,http://www.chicagoreader.com/,-22,HIGH
chicago sun times,http://chicago.suntimes.com/,-12,HIGH
chicago tribune,http://www.chicagotribune.com/,9,HIGH
china daily,http://www.chinadaily.com.cn/,-4,HIGH
china global television network (cgtn),https://news.cgtn.com,-2,HIGH
chinook observer,http://www.chinookobserver.com,-4,HIGH
christian science monitor,http://www.csmonitor.com/,-4,HIGH
christianity today,http://www.christianitytoday.com/,7,HIGH
chronicles of democracy,http://www.chroniclesofdemocracy.com/,-22,HIGH
cincinnati enquirer,http://www.cincinnati.com/,10,HIGH
circa news,http://circa.com/,7,HIGH
citizen critics,https://citizencritics.org,-18,HIGH
citizen truth,https://citizentruth.org,-13,HIGH
citizens for responsibility and ethics in washington (crew),https://www.citizensforethics.org,-15,HIGH
citizens for tax justice,http://ctj.org/,-13,HIGH
city and state new york,http://cityandstateny.com/,-3,HIGH
city journal,http://www.city-journal.org/,24,HIGH
clean technica,https://cleantechnica.com/,-9,VERY HIGH
cnbc,http://www.cnbc.com/,-13,HIGH
colorado springs gazette,http://gazette.com/,12,HIGH
columbia daily herald,http://www.columbiadailyherald.com/,9,HIGH
columbia journalism review,http://www.cjr.org/,-11,HIGH
columbus dispatch,http://www.dispatch.com/,10,HIGH
commentary magazine,https://www.commentarymagazine.com/,24,HIGH
committee for a responsible federal budget,http://crfb.org/,1,VERY HIGH
committee for economic development,https://www.ced.org/,3,HIGH
committee to investigate russia,https://investigaterussia.org,-9,HIGH
committee to protect journalists,https://www.cpj.org/,-2,VERY HIGH
common cause,http://www.commoncause.org,-12,HIGH
common dreams,http://www.commondreams.org/,-24,HIGH
commonweal magazine,https://www.commonwealmagazine.org,-10,HIGH
commonwealth fund,http://www.commonwealthfund.org/,-11,HIGH
communities digital news,http://www.commdiginews.com/,12,HIGH
competitive enterprise institute,https://cei.org/,17,HIGH
concord monitor,http://www.concordmonitor.com,-4,HIGH
conflict news,http://www.conflict-news.com/,3,HIGH
congress.gov,https://www.congress.gov/,-1,VERY HIGH
congressional budget office (cbo),https://www.cbo.gov/,-1,VERY HIGH
conservative institute,https://www.conservativeinstitute.org,22,HIGH
consortium news,https://consortiumnews.com/,-5,HIGH
constitution daily,https://constitutioncenter.org,1,HIGH
constitution project,http://www.constitutionproject.org/,1,HIGH
consumer reports,https://www.consumerreports.org,-1,HIGH
consumerist,https://consumerist.com/,-3,HIGH
cook political report,http://cookpolitical.com/,-2,HIGH
corporate presidency,https://corporatepresidency.org,-15,HIGH
cosmopolitan,http://www.cosmopolitan.com/,-26,HIGH
council for the national interest,http://www.councilforthenationalinterest.org/,-14,HIGH
council on foreign relations,http://www.cfr.org/,9,HIGH
countable news,http://blog.countable.us/,-4,HIGH
countercurrents.org,http://www.countercurrents.org/,-22,HIGH
counterpunch,http://www.counterpunch.org/,-22,HIGH
courthouse news service,https://www.courthousenews.com,-1,HIGH
cp24,https://www.cp24.com/,-3,HIGH
credo action,http://credoaction.com/,-14,HIGH
crimeola,https://crimeola.com,-1,HIGH
crimethinc,https://crimethinc.com/,-22,HIGH
crooked media,https://crooked.com/,-23,HIGH
crosscut.com,http://crosscut.com/,-13,HIGH
csc mediagroup usa,http://www.cscmediagroupus.com/,30,HIGH
ctv news,http://www.ctvnews.ca/,-14,HIGH
current affairs magazine,https://www.currentaffairs.org/,-21,HIGH
curve magazine,http://www.curvemag.com,-18,HIGH
daily 49er,http://www.daily49er.com/,-19,HIGH
daily beast,http://www.thedailybeast.com/,-23,HIGH
daily business review,http://www.dailybusinessreview.com/,2,HIGH
daily dot,http://www.dailydot.com/,-19,HIGH
daily herald,http://www.dailyherald.com/,8,HIGH
daily hive,http://dailyhive.com/,-9,HIGH
daily journal (illinois),http://www.daily-journal.com,1,HIGH
daily journal (missouri),https://dailyjournalonline.com,-3,HIGH
daily press,http://www.dailypress.com/,7,HIGH
daily record,http://www.dailyrecord.com/,-4,HIGH
daily telegraph,http://www.telegraph.co.uk/,11,HIGH
dallas morning news,http://www.dallasnews.com/,12,HIGH
dallas voice,http://www.dallasvoice.com/,-23,HIGH
darien times,http://www.darientimes.com/,-2,HIGH
dawn,https://www.dawn.com/,-12,HIGH
dayton daily news,https://www.daytondailynews.com,-5,HIGH
dcreport.org,https://www.dcreport.org/,-17,HIGH
de volkskrant,https://www.volkskrant.nl/,9,HIGH
dead state,http://deadstate.org/,-24,HIGH
deadline hollywood,http://deadline.com/,-15,HIGH
deadspin,https://deadspin.com/,-22,HIGH
deathandtaxes,http://www.deathandtaxesmag.com/,-22,HIGH
debate post,http://debatepost.com/,19,HIGH
deccan chronicle,https://www.deccanchronicle.com/,14,HIGH
defense one,http://www.defenseone.com/,0,HIGH
delaware online – the news journal,http://www.delawareonline.com/,-9,HIGH
democracy 21,http://www.democracy21.org/,-16,HIGH
democracy chronicles,https://democracychronicles.org/author/tawfik/,-24,HIGH
democracy now,http://www.democracynow.org/,-22,HIGH
democrat and chronicle,http://www.democratandchronicle.com/,-11,HIGH
demos,http://www.demos.org,-11,HIGH
denver post,http://www.denverpost.com/,-14,HIGH
deseret news,http://www.deseretnews.com/,15,HIGH
desert sun,http://www.desertsun.com/,6,HIGH
desmog,https://www.desmogblog.com/,-18,HIGH
detroit free press,http://www.freep.com/,-12,HIGH
detroit news,http://www.detroitnews.com/,12,HIGH
die hard democrat,http://dieharddemocrat.com/,-26,HIGH
die zeit,http://www.zeit.de/english/index,-9,HIGH
differencebetween.net,http://www.differencebetween.net,0,VERY HIGH
digg,http://digg.com/,-9,HIGH
digital journal,http://www.digitaljournal.com,-2,HIGH
dissent magazine,https://www.dissentmagazine.org/,-23,HIGH
diversityinc,http://www.diversityinc.com,-12,HIGH
doctors without borders,http://www.doctorswithoutborders.org,-1,HIGH
downsizing the federal government,https://www.downsizinggovernment.org,15,HIGH
dpa german press agency,http://www.dpa-international.com/,-3,HIGH
duluth news tribune,https://www.duluthnewstribune.com,9,HIGH
dutch daily news,http://www.dutchdailynews.com/,-13,HIGH
dw news,http://www.dw.com/en/top-stories/s-9097,-14,HIGH
eagle tribune,http://www.eagletribune.com/,1,HIGH
earth institute,http://earth.columbia.edu/sections/view/9,-2,HIGH
earthjustice,https://earthjustice.org,-17,HIGH
east bay times,http://www.eastbaytimes.com/,-9,HIGH
economic policy institute,http://www.epi.org/,-13,HIGH
economicpolicyjournal.com,http://www.economicpolicyjournal.com,24,HIGH
economics.help,https://www.economicshelp.org,-13,HIGH
edmonton journal,http://edmontonjournal.com/,-10,HIGH
edmonton sun,http://www.edmontonsun.com/,15,HIGH
egbertowillies,https://egbertowillies.com/,-28,HIGH
ej insight (eji),http://www.ejinsight.com/,-5,HIGH
el pais,http://elpais.com/elpais/inenglish.html,-13,HIGH
el paso times,http://www.elpasotimes.com/,-8,HIGH
electoral-vote.com,https://www.electoral-vote.com,-19,HIGH
electronic frontier foundation,https://www.eff.org/,-8,HIGH
electronic intifada,https://electronicintifada.net/,-25,HIGH
elisabeth parker,http://elisabethparker.com/,-26,HIGH
elko daily free press,https://elkodaily.com/,1,HIGH
emirates 24/7,http://www.emirates247.com/,-11,HIGH
empty wheel,https://www.emptywheel.net/,-15,HIGH
engadget,https://www.engadget.com/,-12,HIGH
erie times-news,http://www.goerie.com,-4,HIGH
err news (estonia public broadcasting),http://news.err.ee,1,HIGH
esquire magazine,http://www.esquire.com/,-22,HIGH
ethics and public policy center (eppc),https://eppc.org/,15,HIGH
eu observer,https://euobserver.com/,-11,HIGH
eurasia group,http://www.eurasiagroup.net/,-3,HIGH
eurasia review,http://www.eurasiareview.com,-4,HIGH
euronews,http://www.euronews.com/,-4,HIGH
every crs report,https://www.everycrsreport.com/,0,VERY HIGH
everyday feminism,http://everydayfeminism.com/,-21,HIGH
evonomics,http://evonomics.com/,-23,HIGH
exposing the truth,https://www.exposingtruth.com/,-10,HIGH
fact / myth,http://factmyth.com/,-9,HIGH
factbox.tv,http://factbox.tv/,-15,HIGH
factcheck,http://www.factcheck.org/,-1,VERY HIGH
factscan,http://factscan.ca/,-1,VERY HIGH
factwire news agency,https://www.factwire.org/english,-1,HIGH
fair observer,https://www.fairobserver.com,-3,HIGH
fairness & accuracy in reporting (fair),http://fair.org/,-14,HIGH
fairvote,http://www.fairvote.org/,-9,HIGH
faith family america,http://www.faithfamilyamerica.com,13,HIGH
far left watch,https://farleftwatch.com,29,HIGH
fast company magazine,https://www.fastcompany.com/,-11,HIGH
federal news radio,https://federalnewsradio.com,-1,HIGH
federal times,http://www.federaltimes.com/,0,HIGH
feminist current,http://www.feministcurrent.com,-19,HIGH
feminist frequency,https://feministfrequency.com/,-8,HIGH
feministing,http://feministing.com/,-25,HIGH
fifth estate,https://www.fifthestate.org/,-22,HIGH
fight for the future,https://www.fightforthefuture.org,-14,HIGH
filming cops,http://filmingcops.com/,-24,HIGH
financial express,http://www.financialexpress.com/,2,HIGH
financial post,http://www.financialpost.com/,10,HIGH
financial times,https://www.ft.com/,1,HIGH
first draft news,https://firstdraftnews.org/,-3,HIGH
first post,http://www.firstpost.com/,-22,HIGH
fitsnews,https://www.fitsnews.com/,13,HIGH
fivethirtyeight,https://fivethirtyeight.com/,-8,HIGH
florida times-union,http://jacksonville.com/,10,HIGH
foreign affairs,https://www.foreignaffairs.com/,5,HIGH
foreign policy in focus,http://fpif.org/,-10,HIGH
foreign policy initiative,http://www.foreignpolicyi.org/,12,HIGH
foreign policy research institute,http://www.fpri.org/,10,VERY HIGH
foreign policy,http://foreignpolicy.com/,3,HIGH
fort bend herald,http://www.fbherald.com/,13,HIGH
fort worth star-telegram,http://www.star-telegram.com/,10,HIGH
fort worth weekly,https://www.fwweekly.com/,-14,HIGH
fortnightly review,http://fortnightlyreview.co.uk/,15,HIGH
fortune magazine,http://fortune.com/,8,HIGH
forward progressives,http://www.forwardprogressives.com/,-26,HIGH
foundation for defense of democracies,http://www.defenddemocracy.org,21,HIGH
foundation for economic education,https://fee.org/,12,HIGH
france24,http://www.france24.com/en/,-13,HIGH
fraser institute,https://www.fraserinstitute.org/,13,HIGH
freakonomics radio,http://freakonomics.com/,-10,HIGH
free press,http://freepress.org/,-27,HIGH
free rein news,http://frnewsreport.com,-28,HIGH
free wheel media,https://freewheelus.com,-12,HIGH
freedom from religion foundation (ffrf),https://ffrf.org/,-1,HIGH
freedom house,https://freedomhouse.org/,10,HIGH
freedom news and journal,https://freedomnews.org.uk/,-27,HIGH
fresno bee,http://www.fresnobee.com/,-11,HIGH
fstv (freespeech.org),https://www.freespeech.org/,-19,HIGH
full fact (uk),https://fullfact.org/,-5,VERY HIGH
