domain,url,bias_rating,factual_reporting_rating
lawfare blog,https://www.lawfareblog.com/,-13,HIGH
le devoir,http://www.ledevoir.com/,1,HIGH
lead stories,https://leadstories.com/,-2,VERY HIGH
learn liberty,http://www.learnliberty.org/,8,HIGH
left action,http://leftaction.com/,-25,HIGH
left foot forward,https://leftfootforward.org/,-23,HIGH
left justified,http://www.leftjustified.com/,-9,HIGH
left voice,http://www.leftvoice.org,-22,HIGH
left wing nation,http://leftwingnation.org/,-28,HIGH
lethbridge herald,http://lethbridgeherald.com/,-12,HIGH
lexington herald leader,http://www.kentucky.com/,-10,HIGH
lexington institute,http://lexingtoninstitute.org/,8,HIGH
lgbtq nation,http://www.lgbtqnation.com/,-18,HIGH
libcom.org,http://libcom.org,-28,HIGH
liberal mountain,http://www.liberalmountain.com/,-16,HIGH
liberation news,https://www.liberationnews.org/,-22,HIGH
liberty viral,https://libertyviral.com/,13,HIGH
lifehacker,https://lifehacker.com/,-10,HIGH
lima charlie news,https://limacharlienews.com,2,HIGH
lincoln journal star,http://journalstar.com/,-2,HIGH
listverse,http://listverse.com/,-3,HIGH
liveleak,https://www.liveleak.com/,-12,HIGH
lompoc record,http://lompocrecord.com/,1,HIGH
london evening standard,http://www.standard.co.uk/,15,HIGH
longview news-journal,https://www.news-journal.com,2,HIGH
los angeles daily news,http://www.dailynews.com/,6,HIGH
mackinac center for public policy,http://www.mackinac.org/,10,HIGH
maclean’s magazine,http://www.macleans.ca/,-11,HIGH
maine beacon,http://mainebeacon.com/,-9,HIGH
makeuseof,https://www.makeuseof.com/,-2,HIGH
manhattan institute for policy research,http://www.manhattan-institute.org/,10,HIGH
maplight,http://maplight.org/,-2,VERY HIGH
marketwatch,http://www.marketwatch.com/,0,HIGH
mashable,http://mashable.com/,-20,HIGH
mcclatchydc,http://www.mcclatchydc.com/,-4,HIGH
media matters,http://mediamatters.org/,-24,HIGH
mediafile,http://www.mediafiledc.com,-12,HIGH
mediaite,http://www.mediaite.com/,-23,HIGH
mediashift,http://mediashift.org/,-4,HIGH
meduza,https://meduza.io/en,-19,HIGH
mental floss,http://mentalfloss.com/,-2,HIGH
mercatornet,https://www.mercatornet.com,28,HIGH
mercopress,http://en.mercopress.com/,-1,HIGH
merion west,http://merionwest.com/,5,HIGH
merry jane,https://www.merryjane.com/,-20,HIGH
metabunk,https://www.metabunk.org/,-3,HIGH
metro uk,http://metro.co.uk/,-14,HIGH
metro,http://www.metro.us/,-10,HIGH
mexico daily news,http://mexiconewsdaily.com/,-13,HIGH
miami herald,http://www.miamiherald.com/,-10,HIGH
miami new times,http://www.miaminewtimes.com/,-23,HIGH
mic,https://mic.com/,-14,HIGH
migration policy institute,https://www.migrationpolicy.org,-10,HIGH
military times,http://www.militarytimes.com/,8,HIGH
military.com,http://www.military.com/,3,HIGH
milwaukee journal-sentinel,http://www.jsonline.com/,-9,HIGH
minneapolis star tribune,http://www.startribune.com/,-9,HIGH
minnesota public radio (mpr),https://www.mprnews.org/,-11,HIGH
minnpost,https://www.minnpost.com,-11,HIGH
missoulian,http://missoulian.com/,-3,HIGH
mlive (michigan – booth newspapers),http://www.mlive.com/,-1,HIGH
molad the center for the renewal of israeli democracy,http://www.molad.org/en/,-20,HIGH
mondoweiss,http://mondoweiss.net/,-18,HIGH
mongabay,https://news.mongabay.com,-12,HIGH
montana standard,http://mtstandard.com,-3,HIGH
monthly review,http://monthlyreview.org/,-13,HIGH
montreal gazette,http://montrealgazette.com/,-12,HIGH
morning consult,https://morningconsult.com/,-13,HIGH
moscow times,https://themoscowtimes.com/,-14,HIGH
mother jones,http://www.motherjones.com/,-23,HIGH
mother nature network,https://www.mnn.com,-15,HIGH
mountain democrat,https://www.mtdemocrat.com,-8,HIGH
ms. (magazine),http://www.msmagazine.com/,-20,HIGH
msn.com,http://www.msn.com/,-9,HIGH
muncie voice,http://www.muncievoice.com/,-15,HIGH
mwc news – media with conscience,http://mwcnews.net/,-12,HIGH
mynorthwest,http://mynorthwest.com,12,HIGH
naked capitalism,http://www.nakedcapitalism.com/,-12,HIGH
napa valley register,http://napavalleyregister.com,2,HIGH
national affairs magazine,https://www.nationalaffairs.com,9,HIGH
national association for the advancement of colored people (naacp),http://www.naacp.org/,-17,HIGH
national bureau of economic research (nber),http://www.nber.org/,1,HIGH
national center for transgender equality (ncte),https://transequality.org,-15,HIGH
national institute on money in state politics,https://www.followthemoney.org/,-4,HIGH
national interest,http://nationalinterest.org/,6,HIGH
national journal,https://www.nationaljournal.com/,-4,HIGH
national monitor,http://natmonitor.com/,-15,HIGH
national newswatch,http://www.nationalnewswatch.com/,-8,HIGH
national observer (canada),http://www.nationalobserver.com/,-15,HIGH
national post,http://www.nationalpost.com/index.html,13,HIGH
national youth rights association,http://www.youthrights.org/,-8,HIGH
nationmaster,http://www.nationmaster.com,-1,VERY HIGH
natural resource governance institute,http://www.resourcegovernance.org/,-11,HIGH
natural resources defense council,https://www.nrdc.org/,-14,HIGH
nature conservancy,https://www.nature.org,-9,HIGH
nbc news,http://www.nbcnews.com/,-14,HIGH
nc policy watch,http://www.ncpolicywatch.com/,-14,HIGH
ndtv,https://www.ndtv.com/,-12,HIGH
need 2 know,http://theneed2know.com/,-5,HIGH
netherlands radio and television association (nos),https://nos.nl,7,HIGH
new america,https://www.newamerica.org/,-3,HIGH
new bern sun journal,http://www.newbernsj.com/,-4,HIGH
new england cable news (necn),http://www.necn.com/,-9,HIGH
new europe,https://www.neweurope.eu/,-13,HIGH
new internationalist,https://newint.org/,-22,HIGH
new left review,https://newleftreview.org/,-14,HIGH
new matilda,https://newmatilda.com/,-13,HIGH
new moderate,https://newmoderate.com/,-11,HIGH
new politics magazine,http://newpol.org/,-19,HIGH
new republic,https://newrepublic.com/,-20,HIGH
new revolution now,http://www.newrevolutionnow.org/,22,HIGH
new statesman,http://www.newstatesman.com/,-22,HIGH
new york magazine,http://nymag.com/,-22,HIGH
new york observer,http://observer.com/,20,HIGH
new york times,https://www.nytimes.com/,-12,HIGH
new yorker,http://www.newyorker.com/,-23,HIGH
new zealand herald,http://www.nzherald.co.nz,1,HIGH
news and guts,https://www.newsandgutsmedia.com/,-13,HIGH
news channel 4 (kfor.com),http://kfor.com/,-8,HIGH
news deeply,https://www.newsdeeply.com,-16,HIGH
news lookup,http://www.newslookup.com,-1,HIGH
news rescue,http://newsrescue.com/,11,HIGH
news-gazette,http://www.news-gazette.com/,8,HIGH
news.com.au,http://www.news.com.au/,-12,HIGH
news24 (south africa),http://www.news24.com/,2,HIGH
newsday,http://www.newsday.com/,-15,HIGH
newsela,https://newsela.com/,-3,HIGH
newser,http://www.newser.com,-9,HIGH
newsone,https://newsone.com/,-16,HIGH
newsy,http://www.newsy.com/,-10,HIGH
next avenue,http://www.nextavenue.org/,-5,HIGH
nextgov,http://www.nextgov.com/,-2,HIGH
nhk world,https://www3.nhk.or.jp/nhkworld/,-2,HIGH
niskanen center,https://niskanencenter.org,-5,HIGH
nk news,https://www.nknews.org,-4,HIGH
no labels,https://www.nolabels.org/,-3,HIGH
noozhawk,https://www.noozhawk.com/,-4,HIGH
north99,https://north99.org/,-24,HIGH
northwest indiana times,http://www.nwitimes.com,2,HIGH
novinite,http://www.novinite.com/,-4,HIGH
now magazine,https://nowtoronto.com/,-18,HIGH
npr (national public radio),http://www.npr.org/sections/news/,-9,VERY HIGH
ntd.tv (new tang dynasty),http://www.ntd.tv/,14,HIGH
oc weekly,http://www.ocweekly.com/,-12,HIGH
odessa american,http://www.oaoa.com,10,HIGH
oil and water don’t mix,http://www.oilandwaterdontmix.org/,-8,HIGH
oil price,http://oilprice.com/,8,HIGH
omaha world-herald,http://www.omaha.com/,10,HIGH
ontario proud,https://www.ontarioproud.ca,24,HIGH
open the government,http://www.openthegovernment.org/,-3,HIGH
opendemocracy,https://www.opendemocracy.net/,-15,HIGH
opposing views,http://www.opposingviews.com/,-14,HIGH
orange county register,http://www.ocregister.com/,11,HIGH
oregonian,http://www.oregonlive.com/#/0,12,HIGH
orlando sentinel,http://www.orlandosentinel.com/,10,HIGH
ottawa citizen,http://ottawacitizen.com/,10,HIGH
our voice ny,https://ourvoiceny.com,-25,HIGH
our world in data,https://ourworldindata.org,-8,HIGH
outside the beltway,http://www.outsidethebeltway.com/,-11,HIGH
oyez project,https://www.oyez.org,-1,VERY HIGH
ozy media,http://www.ozy.com/,-13,HIGH
pacific daily news,https://www.guampdn.com/,-3,HIGH
pacific research institute,http://www.pacificresearch.org/home/,9,HIGH
pacific standard magazine,https://psmag.com/,-10,HIGH
panam post,https://panampost.com/,-12,HIGH
parallax news (pxw),http://parallax.news/,0,HIGH
paste magazine,https://www.pastemagazine.com/,-21,HIGH
patch,https://patch.com/,-2,HIGH
patriotic millionaires,https://patrioticmillionaires.org,-12,HIGH
pbs news hour,http://www.pbs.org/newshour/,-10,HIGH
peacock panache,http://www.peacock-panache.com,-27,HIGH
peninsula daily news,http://www.peninsuladailynews.com/,8,HIGH
pensacola news journal,https://www.pnj.com,-4,HIGH
people for the american way (pfaw),http://www.pfaw.org,-19,HIGH
people magazine,http://people.com/politics/,-20,HIGH
peterson foundation,http://www.pgpf.org/,1,HIGH
peterson institute for international economics,https://piie.com/,2,HIGH
pew research,http://www.pewresearch.org/,-1,VERY HIGH
philadelphia inquirer,http://www.philly.com/inquirer/,-11,HIGH
philadelphia tribune,http://www.phillytrib.com/,-11,HIGH
philippine daily inquirer,https://www.inquirer.net/,-8,HIGH
phoenix new times,http://www.phoenixnewtimes.com/,-16,HIGH
pinac,https://photographyisnotacrime.com/,-18,HIGH
pink news,http://www.pinknews.co.uk/home/,-20,HIGH
pittsburgh post-gazette,http://www.post-gazette.com/,7,HIGH
pittsburgh tribune review,http://triblive.com/,10,HIGH
places journal,https://placesjournal.org/,-3,VERY HIGH
pluralist,https://www.pluralist.com,-11,HIGH
policy review,http://www.hoover.org/publications/policy-review,22,HIGH
policyed,https://www.policyed.org/,16,HIGH
political critique,http://politicalcritique.org/,-13,HIGH
political storm,http://www.politicalstorm.com/,5,HIGH
politico,http://www.politico.com/,-15,HIGH
politics that work,http://politicsthatwork.com/,-15,HIGH
politicususa,http://www.politicususa.com/,-23,HIGH
politifact,http://www.politifact.com/,-4,HIGH
politisite,http://politi.site,24,HIGH
polygraph.info,http://www.polygraph.info/,-2,VERY HIGH
population connection,http://www.populationconnection.org,-15,HIGH
portland press-herald,http://www.pressherald.com/,-7,HIGH
positive news,https://www.positive.news,-12,HIGH
post-bulletin,http://www.postbulletin.com/,6,HIGH
power line,http://www.powerlineblog.com/,24,HIGH
poynter institute,http://www.poynter.org/,-4,VERY HIGH
pr newswire,http://prnewswire.mediaroom.com/,-1,HIGH
press progress,https://www.pressprogress.ca/,-20,HIGH
procon.org,https://www.procon.org/,-2,HIGH
progressive army,http://progressivearmy.com,-22,HIGH
project censored,http://projectcensored.org/,-19,HIGH
project on government oversight,http://pogo.org/,-4,VERY HIGH
project syndicate,https://www.project-syndicate.org/,-2,HIGH
propublica,https://www.propublica.org/,-13,HIGH
prospect magazine,http://www.prospectmagazine.co.uk/,-11,HIGH
public citizen,https://www.citizen.org/,-13,HIGH
public policy polling (ppp),http://www.publicpolicypolling.com/,0,VERY HIGH
public radio international (pri),http://www.pri.org/,-13,HIGH
public religion research institute (prri),http://www.prri.org/,2,VERY HIGH
punchingbag post,http://punchingbagpost.com/,13,HIGH
putintrump.org,http://putintrump.org/,-20,HIGH
quad city times,http://qctimes.com/,-4,HIGH
quartz,http://qz.com/,-11,HIGH
queerty,https://www.queerty.com,-20,HIGH
quillette,http://quillette.com/,11,HIGH
r street institute,http://www.rstreet.org/,10,HIGH
rabble.ca,http://rabble.ca/,-25,HIGH
radio free asia,http://www.rfa.org/english/,-7,HIGH
radio free europe / radio liberty,https://www.rferl.org,-2,HIGH
raleigh news and observer,http://www.newsobserver.com/,-9,HIGH
rand corporation,https://www.rand.org,-4,HIGH
rantt media,https://rantt.com,-19,HIGH
rapid city journal,http://rapidcityjournal.com,-3,HIGH
rare news,http://rare.us/,9,HIGH
rasmussen reports,http://www.rasmussenreports.com/,7,HIGH
rationalwiki,http://rationalwiki.org/wiki/Main_Page,-11,HIGH
reading the pictures,http://www.readingthepictures.org,-20,HIGH
real clear defense,http://www.realcleardefense.com/,10,HIGH
real clear policy,http://www.realclearpolicy.com/,9,HIGH
real clear politics,http://www.realclearpolitics.com/,9,HIGH
real news network,http://therealnews.com/t2/,-19,HIGH
realclearreligion,https://www.realclearreligion.org,9,HIGH
reason,http://reason.com/,14,HIGH
recode,https://www.recode.net/,-1,HIGH
red pepper,http://www.redpepper.org.uk/,-29,HIGH
red river valley news,http://www.valleynewslive.com/,8,HIGH
red state disaster,https://redstatedisaster.com,-23,HIGH
relevant magazine,https://relevantmagazine.com,3,HIGH
religion news service (rns),http://religionnews.com,-11,HIGH
remington research group,https://remingtonresearchgroup.com,6,HIGH
reporters lab,http://reporterslab.org/,-1,VERY HIGH
reporters without borders,https://rsf.org/en,-5,HIGH
represent.us,https://represent.us/,-5,HIGH
restore american glory,http://www.restoreamericanglory.com/,26,HIGH
reuters,http://www.reuters.com/,-3,VERY HIGH
reveal – center for investigative reporting,https://www.revealnews.org/,-7,HIGH
reverb press,http://reverbpress.news/,-22,HIGH
revere press,http://reverepress.com,-27,HIGH
revolution news,http://revolution-news.com/,-20,HIGH
rewire,https://rewire.news/,-18,HIGH
richmond times-dispatch,http://www.richmond.com/,10,HIGH
right web,http://rightweb.irc-online.org,-13,HIGH
ring of fire,https://trofire.com/,-27,HIGH
riverbender.com,https://www.riverbender.com/,-2,HIGH
roanoke times,http://www.roanoke.com/,-8,HIGH
roll call,http://www.rollcall.com/,-4,VERY HIGH
rolling stone,http://www.rollingstone.com/,-16,HIGH
roosevelt institute,http://rooseveltinstitute.org/,-12,HIGH
rte (radio television of ireland),https://www.rte.ie,-3,HIGH
rudaw,http://rudaw.net/english,-10,HIGH
russian media monitor,http://www.russialies.com,-5,HIGH
russian news agency-tass,http://tass.com/,10,HIGH
sacramento bee,http://www.sacbee.com/,-11,HIGH
salem radio network news (srn news),http://www.srnnews.com/,8,HIGH
salon,http://www.salon.com/,-25,HIGH
salt lake tribune,http://www.sltrib.com/,-10,HIGH
san antonio express-news,http://www.mysanantonio.com/,-9,HIGH
san bernardino sun,https://www.sbsun.com,9,HIGH
san diego free press,https://sandiegofreepress.org/,-15,HIGH
san diego reader,https://www.sandiegoreader.com,-14,HIGH
san diego union tribune,http://www.sandiegouniontribune.com/,-5,HIGH
san francisco chronicle,http://www.sfchronicle.com/,-14,HIGH
san francisco examiner,http://www.sfexaminer.com,-13,HIGH
san jose mercury news,http://www.mercurynews.com/,-13,HIGH
santa barbara independent,http://www.independent.com/,-12,HIGH
santa maria times,http://santamariatimes.com,2,HIGH
sarasota herald-tribune,http://www.heraldtribune.com/,-3,HIGH
saskatoon starphoenix,http://thestarphoenix.com/,12,HIGH
saudi gazette,http://saudigazette.com.sa,-8,HIGH
savannah morning news,http://savannahnow.com/,10,HIGH
save jersey,https://savejersey.com,24,HIGH
sayfie review,http://www.sayfiereview.com/,-1,HIGH
scary mommy,http://www.scarymommy.com/,-18,HIGH
science debate,http://sciencedebate.org/,-3,VERY HIGH
scoopnest,http://www.scoopnest.com/,-1,HIGH
scotusblog,http://www.scotusblog.com/,-3,HIGH
scroll.in,https://scroll.in/,-10,HIGH
seattle post-intelligencer,http://www.seattlepi.com/,-13,HIGH
seattle times,http://www.seattletimes.com/,-14,HIGH
sentencing project,https://www.sentencingproject.org/,-15,HIGH
sfgate,http://www.sfgate.com/,-14,HIGH
shadow proof,https://shadowproof.com,-26,HIGH
shame project,http://shameproject.com/,-12,HIGH
shareably,http://www.shareably.net/,0,HIGH
shorenstein center,https://shorensteincenter.org/,-3,HIGH
simple politics,http://www.simplepolitics.co.uk,0,HIGH
sioux city journal,http://siouxcityjournal.com/,-4,HIGH
sky news,http://news.sky.com/,-12,HIGH
slate,http://www.slate.com/,-23,HIGH
smirking chimp,http://www.smirkingchimp.com/,-22,HIGH
snopes,http://www.snopes.com/,-3,HIGH
socialist standard,http://www.worldsocialism.org/spgb/,-24,HIGH
socialistworker.org,https://socialistworker.org/,-27,HIGH
sofrep,https://sofrep.com/,11,HIGH
sojourners (soho),https://sojo.net/,-12,HIGH
sootoday.com,https://www.sootoday.com/,-13,HIGH
sourcewatch,http://www.sourcewatch.org/index.php/SourceWatch,-20,HIGH
south bend tribune,https://www.southbendtribune.com/,-4,HIGH
south china morning post,http://www.scmp.com/,-4,HIGH
south florida sun-sentinel,http://www.sun-sentinel.com/,8,HIGH
southern poverty law center,https://www.splcenter.org/,-11,HIGH
special broadcasting service (sbs),http://www.sbs.com.au/,-8,HIGH
spectrum news – ny1,http://www.ny1.com/nyc/all-boroughs,-3,HIGH
spiegel online,http://www.spiegel.de/international/,-11,HIGH
st. cloud times,http://www.sctimes.com/,-4,HIGH
st. louis post-dispatch,http://www.stltoday.com/,-10,HIGH
st. paul pioneer press,http://www.twincities.com/,-8,HIGH
st. pete for peace,https://www.stpete4peace.org/,-19,HIGH
star-ledger,http://www.nj.com/starledger/,-14,HIGH
stars and stripes,https://www.stripes.com/,0,HIGH
stat (news),https://www.statnews.com/,-4,HIGH
staten island advance,http://www.silive.com/,-11,HIGH
statesman journal,http://www.statesmanjournal.com/,8,HIGH
stimson center,http://stimson.org/,-1,HIGH
stock news usa,https://stocknewsusa.com,-4,HIGH
stopfake,http://www.stopfake.org/,-12,HIGH
strategic culture foundation,http://www.strategic-culture.org/,11,HIGH
strategypage,https://www.strategypage.com,2,HIGH
stratfor,https://www.stratfor.com/,-3,HIGH
student daily news,https://www.studentnewsdaily.com/,11,HIGH
stuff,https://www.stuff.co.nz/,-9,HIGH
sunlight foundation,http://sunlightfoundation.com/,-1,VERY HIGH
swarajya,https://swarajyamag.com/,11,HIGH
swi – swissinfo.ch,https://www.swissinfo.ch/,-8,HIGH
syrian observatory for human rights (sohr),http://www.syriahr.com/en/,-14,HIGH
tablet magazine,http://www.tabletmag.com/,-14,HIGH
taipei times,http://www.taipeitimes.com/,-4,HIGH
taiwan news,https://www.taiwannews.com.tw/,-4,HIGH
takepart,http://www.takepart.com/,-22,HIGH
talking points memo,http://talkingpointsmemo.com/,-21,HIGH
tallahassee democrat,http://www.tallahassee.com/,7,HIGH
tampa bay times,http://www.tampabay.com/,-11,HIGH
tampa tribune,http://www.tbo.com/,13,HIGH
task and purpose,http://taskandpurpose.com/,-4,HIGH
tax foundation,http://taxfoundation.org/,7,VERY HIGH
tax justice network,https://www.taxjustice.net/,-11,HIGH
tax policy center,http://www.taxpolicycenter.org,-8,HIGH
tea party patriots,http://www.teapartypatriots.org/,20,HIGH
tea party tribune,http://www.teapartytribune.com/,28,HIGH
techcrunch,https://techcrunch.com,-14,HIGH
techdirt,https://www.techdirt.com,-14,HIGH
texas monthly,https://www.texasmonthly.com,-12,HIGH
texas standard,http://www.texasstandard.org/,-2,HIGH
texas tribune,https://www.texastribune.org/,-2,HIGH
tharawat magazine,http://www.tharawat-magazine.com/#gs.a9CcWpc,8,HIGH
that’s nonsense,http://www.thatsnonsense.com/,-1,HIGH
the age (australia),http://www.theage.com.au/,-12,HIGH
the algemeiner journal,https://www.algemeiner.com/,14,HIGH
the american conservative,http://www.theamericanconservative.com/,11,HIGH
the american independent institute,http://americanindependent.com/,-23,HIGH
the american interest,http://www.the-american-interest.com/,11,HIGH
the american prospect,http://prospect.org/,-23,HIGH
the atlantic,https://www.theatlantic.com/,-12,HIGH
the auburn citizen,http://auburnpub.com/,-3,HIGH
the augusta chronicle,http://chronicle.augusta.com/,17,HIGH
the austin chronicle,https://www.austinchronicle.com,-20,HIGH
the australian financial review,http://www.afr.com/,2,HIGH
the australian,http://www.theaustralian.com.au/,12,HIGH
the automatic earth,https://www.theautomaticearth.com/,-9,HIGH
the baffler,https://thebaffler.com/,-13,HIGH
the balance,https://www.thebalance.com,-4,HIGH
the bangkok post,http://www.bangkokpost.com/,-5,HIGH
the baxter bulletin,https://www.baxterbulletin.com,-2,HIGH
the belfer center for science and international affairs,http://www.belfercenter.org/,1,HIGH
the budapest beacon,https://budapestbeacon.com/,-15,HIGH
the bureau of investigative journalism,https://www.thebureauinvestigates.com/,-4,HIGH
the burning spear,http://www.theburningspear.com/,-23,HIGH
the california republican,http://carepublican.com,26,HIGH
the canadian press,http://www.thecanadianpress.com/,-4,HIGH
the canary (uk),http://www.thecanary.co/,-23,HIGH
the center on budget and policy priorities,http://www.cbpp.org/,-10,HIGH
the century foundation,https://tcf.org/,-16,HIGH
the chicago reporter,http://chicagoreporter.com/,-16,HIGH
the china post,http://www.chinapost.com.tw/,-3,HIGH
the christian left,http://www.thechristianleft.org/,-15,HIGH
the chronicle of higher education,http://www.chronicle.com/,-2,HIGH
the cipher brief,https://www.thecipherbrief.com/,1,HIGH
the citizen,https://www.thecitizen.org.au,-11,HIGH
the climate reality project,https://www.climaterealityproject.org/,-18,HIGH
the conversation,https://theconversation.com/us,-4,HIGH
the council of canadians,https://canadians.org/,-13,HIGH
the courier mail,http://www.couriermail.com.au/,14,HIGH
the courier-journal,http://www.courier-journal.com/,-10,HIGH
the daily banter,http://thedailybanter.com/,-23,HIGH
the daily buzz,http://the-daily.buzz/,-19,HIGH
the daily citizen (dalton),http://www.daltondailycitizen.com/,7,HIGH
the daily climate,http://www.dailyclimate.org/,-12,HIGH
the daily gazette,https://dailygazette.com,-4,HIGH
the daily news (longview),https://tdn.com,-5,HIGH
the daily northwestern,https://dailynorthwestern.com,-4,HIGH
the daily progress,http://www.dailyprogress.com,-2,HIGH
the daily tarheel,http://www.dailytarheel.com/,-12,HIGH
the daily vox,https://www.thedailyvox.co.za/,-21,HIGH
the day (new london),http://www.theday.com,-3,HIGH
the defcon warning system,https://www.defconwarningsystem.com,1,HIGH
the des moines register,http://www.desmoinesregister.com/,-4,HIGH
the diplomat magazine,http://thediplomat.com/,0,HIGH
the economic times,http://economictimes.indiatimes.com/,-8,HIGH
the economist,http://www.economist.com/,1,HIGH
the elkhart truth,http://www.elkharttruth.com,-2,HIGH
the epoch times,http://www.theepochtimes.com/,13,HIGH
the establishment,https://theestablishment.co,-23,HIGH
the european council on foreign relations (ecfr),http://www.ecfr.eu/,-14,HIGH
the fake news codex,http://www.fakenewscodex.com/,-1,HIGH
the federalist,http://thefederalist.com/,27,HIGH
the fiscal times,http://www.thefiscaltimes.com/,11,HIGH
the forward,http://forward.com/,-12,HIGH
the frisky,http://www.thefrisky.com/,-20,HIGH
the fucking news,http://thefingnews.com/,-23,HIGH
the gazette (cedar rapids),http://www.thegazette.com/,11,HIGH
the globe and mail,http://www.theglobeandmail.com/,7,HIGH
the guardian,https://www.theguardian.com/us,-14,HIGH
the hartford courant,http://www.courant.com/,-12,HIGH
the hayride,http://thehayride.com/,28,HIGH
the herald (everett),http://www.heraldnet.com/,-8,HIGH
the herald journal (utah),https://news.hjnews.com/,0,HIGH
the herald-sun (durham/north carolina),https://www.heraldsun.com,-5,HIGH
the hill,http://thehill.com/,-8,HIGH
the hindu business line,http://www.thehindubusinessline.com/,7,HIGH
the hindu,http://newsite.thehindu.com/,-8,HIGH
the humanist magazine,https://thehumanist.com/,-5,HIGH
the independent review,http://www.independent.org/,6,HIGH
the independent,http://www.independent.co.uk/us,-15,HIGH
the indian express,http://indianexpress.com/,-3,HIGH
the intellectualist,https://theintellectualist.co/,-20,HIGH
the intercept,https://theintercept.com/,-17,HIGH
the irish times,http://www.irishtimes.com/,-8,HIGH
the irrawaddy,http://www.irrawaddy.com/,-13,HIGH
the jack news,https://www.thejacknews.com,9,HIGH
the jakarta post,http://www.thejakartapost.com/,-2,HIGH
the jamestown foundation,http://www.jamestown.org/,11,HIGH
the japan news,http://the-japan-news.com/,8,HIGH
the jerusalem post,http://www.jpost.com/,-3,HIGH
the jerusalem report,http://www.jpost.com/Jerusalem-Report,-12,HIGH
the jewish press,http://www.jewishpress.com/,9,HIGH
the jordan times,http://www.jordantimes.com/,-4,HIGH
the journal news,http://www.lohud.com/,-12,HIGH
the knife,http://theknifemedia.com/,1,HIGH
the libertarian republic,http://thelibertarianrepublic.com/,14,HIGH
the lily,https://www.thelily.com/,-18,HIGH
the local (norway),http://www.thelocal.no/,-12,HIGH
the manila times,http://www.manilatimes.net/news/,10,HIGH
the marshall project,https://www.themarshallproject.org/#.qjbbuljBK,-3,HIGH
the mary sue,https://www.themarysue.com,-21,HIGH
the meme policeman,http://memepoliceman.com/,2,HIGH
the middle east in london,http://www.soas.ac.uk/lmei/meil/,3,HIGH
the militant,http://www.themilitant.com/,-19,HIGH
the millennial review,https://themilreview.com/,26,HIGH
the moderate voice,http://themoderatevoice.com/,-3,HIGH
the monthly (australia),https://www.themonthly.com.au/,-11,HIGH
the morning call,http://www.mcall.com,-3,HIGH
the morning star,http://www.morningstaronline.co.uk/,-22,HIGH
the nation institute,http://www.nationinstitute.org/,-14,HIGH
the nation pakistan,http://nation.com.pk/,13,HIGH
the nation,https://www.thenation.com/,-21,HIGH
the national (uae),http://www.thenational.ae/,9,HIGH
the national memo,http://www.nationalmemo.com/,-22,HIGH
the nevada independent,https://thenevadaindependent.com,-13,HIGH
the new arab,https://www.alaraby.co.uk/english,-14,HIGH
the new atlantis,http://www.thenewatlantis.com/,9,HIGH
the new tropic,https://thenewtropic.com,-14,HIGH
the news (mexico city),http://www.thenews.mx/,-3,HIGH
the news international,https://www.thenews.com.pk/,-4,HIGH
the news lens,https://international.thenewslens.com/,7,HIGH
the news literacy project,http://www.thenewsliteracyproject.org/,-1,HIGH
the news tribune,http://www.thenewstribune.com/,-10,HIGH
the news-times (danbury),https://www.newstimes.com/,-10,HIGH
the next web,https://thenextweb.com,-9,HIGH
the objective standard,https://www.theobjectivestandard.com,15,HIGH
the observatory,https://observatory.journalism.wisc.edu/,-3,HIGH
the observer (uk),https://www.theguardian.com/observer,-13,HIGH
the oklahoman,http://www.oklahoman.com/live,11,HIGH
the olympian,http://www.theolympian.com,-11,HIGH
the oslo times,http://www.theoslotimes.com/,-12,HIGH
the outline,https://theoutline.com/,-19,HIGH
the outlook (monmouth university),http://outlook.monmouth.edu/,-4,HIGH
the pantagraph,http://www.pantagraph.com/,-3,HIGH
the patriot-news,http://www.pennlive.com/,-7,HIGH
the phnom penh post,http://www.phnompenhpost.com/,-2,HIGH
the plain dealer,http://www.cleveland.com/plaindealer/,-12,HIGH
the post and courier,http://www.postandcourier.com/,2,HIGH
the post millennial,https://www.thepostmillennial.com,23,HIGH
the post star,http://poststar.com,1,HIGH
the press democrat,http://www.pressdemocrat.com,-9,HIGH
the press-enterprise,http://www.pe.com/,11,HIGH
the progressive,http://www.progressive.org/,-23,HIGH
the providence journal,http://www.providencejournal.com/,-12,HIGH
the pulse,http://pulsegulfcoast.com/,-15,HIGH
the reality-based community,http://www.samefacts.com/,-21,HIGH
the record (new jersey),http://www.northjersey.com/,-10,HIGH
the ringer,https://www.theringer.com,-12,HIGH
the root,http://www.theroot.com/,-22,HIGH
the santa fe new mexican,http://www.santafenewmexican.com,-8,HIGH
the saturday paper,https://www.thesaturdaypaper.com.au/,-14,HIGH
the scotsman,http://www.scotsman.com,-3,HIGH
the sentinel (pennsylvania),http://cumberlink.com,-3,HIGH
the skimm,http://www.theskimm.com/,-4,HIGH
the smoking gun,http://www.thesmokinggun.com/,7,HIGH
the sociable,https://sociable.co/,-3,HIGH
the source newspaper (la source),http://thelasource.com/en/,-24,HIGH
the southern illinoisan,http://thesouthern.com,2,HIGH
the spectator (uk),http://www.spectator.co.uk/,17,HIGH
the spokesman-review,http://www.spokesman.com/,6,HIGH
the star democrat,http://www.stardem.com,-4,HIGH
