domain,url,bias_rating,factual_reporting_rating,category
human rights watch,https://www.hrw.org/,-8,HIGH,whitelist
humanium,https://www.humanium.org,-13,HIGH,whitelist
i24 news,http://www.i24news.tv/,1,HIGH,whitelist
ice news,http://www.icenews.is/,-13,HIGH,whitelist
icitizen,https://icitizen.com,-3,HIGH,whitelist
idaho statesman,http://www.idahostatesman.com,-3,HIGH,whitelist
if americans knew,http://ifamericaknew.org/,-15,HIGH,whitelist
ihs janes 360,http://www.janes.com/,1,HIGH,whitelist
illinois policy institute,https://www.illinoispolicy.org/,20,HIGH,whitelist
imediaethics,https://www.imediaethics.org,-4,HIGH,whitelist
in defence of marxism,https://www.marxist.com/,-27,HIGH,whitelist
in homeland security,https://inhomelandsecurity.com,9,HIGH,whitelist
in these times,http://inthesetimes.com/,-22,HIGH,whitelist
independent australia,https://independentaustralia.net/,-15,HIGH,whitelist
independent journal review,https://ijr.com/,26,HIGH,whitelist
independent record (montana),http://helenair.com,1,HIGH,whitelist
independent sentinel,http://www.independentsentinel.com/,29,HIGH,whitelist
independent voter network (ivn),https://ivn.us/,-4,HIGH,whitelist
india today,http://indiatoday.intoday.in/,-4,HIGH,whitelist
indianapolis star,http://www.indystar.com/,-10,HIGH,whitelist
inequality media,https://www.inequalitymedia.org/,-19,HIGH,whitelist
inews,https://inews.co.uk/,-13,HIGH,whitelist
informed comment,https://www.juancole.com,-19,HIGH,whitelist
inside higher ed,https://www.insidehighered.com/,-7,HIGH,whitelist
inside philanthropy,https://www.insidephilanthropy.com,-13,HIGH,whitelist
insideclimate news,https://insideclimatenews.org/,-7,HIGH,whitelist
insidesources,http://www.insidesources.com,12,HIGH,whitelist
institute for humane studies,https://theihs.org/,7,HIGH,whitelist
institute for middle east understanding (imeu),https://imeu.org,-12,HIGH,whitelist
institute for policy studies,http://www.ips-dc.org,-28,HIGH,whitelist
institute for women’s policy research (iwpr),https://iwpr.org,-4,HIGH,whitelist
institute on taxation and economic policy (itep),https://itep.org/,-11,HIGH,whitelist
inter press service (ips),http://www.ips.org,-16,HIGH,whitelist
international center for research on women,http://www.icrw.org/,-11,HIGH,whitelist
international consortium of investigative journalists,https://www.icij.org/,-4,VERY HIGH,whitelist
international crisis group,https://www.crisisgroup.org/,-10,HIGH,whitelist
international energy agency (iea),https://www.iea.org/,-5,HIGH,whitelist
international organization,http://journals.cambridge.org/action/displayIssue?jid=INO&tab=currentissue,1,VERY HIGH,whitelist
international press institute,http://www.freemedia.at/,-1,VERY HIGH,whitelist
international rescue committee (irc),https://www.rescue.org/,-3,HIGH,whitelist
inverse,https://www.inverse.com,-12,HIGH,whitelist
investigative reporters and editors,https://www.ire.org/,-1,VERY HIGH,whitelist
investopedia,http://www.investopedia.com/,-1,HIGH,whitelist
iowa starting line,https://iowastartingline.com,-22,HIGH,whitelist
ipolitics,http://ipolitics.ca/,-9,HIGH,whitelist
irin news,http://www.irinnews.org/,-10,HIGH,whitelist
irish independent,http://www.independent.ie/,11,HIGH,whitelist
israel hayom,http://www.israelhayom.com/site/today.php,13,HIGH,whitelist
itv news,http://www.itv.com/news/,8,HIGH,whitelist
jackson sun,https://www.jacksonsun.com,2,HIGH,whitelist
jacobin,https://www.jacobinmag.com/,-22,HIGH,whitelist
japan times,https://www.japantimes.co.jp/,1,HIGH,whitelist
japan today,https://www.japantoday.com/,7,HIGH,whitelist
jewish news syndicate (jns),https://www.jns.org,13,HIGH,whitelist
jewish policy center,https://www.jewishpolicycenter.org/,20,HIGH,whitelist
jewish telegraphic agency (jta),http://www.jta.org,1,HIGH,whitelist
jihadica,http://www.jihadica.com/,-9,HIGH,whitelist
joint center for political and economic studies,http://jointcenter.org/,-13,HIGH,whitelist
journal gazette & times-courier,https://www.opensecrets.org/orgs/totals.php?id=D000052990&cycle=2014,-3,HIGH,whitelist
journal of politics and society,http://www.helvidius.org/,-10,VERY HIGH,whitelist
jstor daily,http://daily.jstor.org/,-1,VERY HIGH,whitelist
just facts daily,http://www.justfactsdaily.com/,19,HIGH,whitelist
just facts,http://www.justfacts.com/,12,HIGH,whitelist
just security,https://www.justsecurity.org/,-3,HIGH,whitelist
kaiser family foundation,http://kff.org/,-4,HIGH,whitelist
kansas city star,http://www.kansascity.com/,-12,HIGH,whitelist
keep and bear,https://keepandbear.com,28,HIGH,whitelist
kmov,http://www.kmov.com/,-9,HIGH,whitelist
knight foundation,http://www.knightfoundation.org/,-7,HIGH,whitelist
know your meme,http://knowyourmeme.com/,-1,HIGH,whitelist
knowhere,https://knowherenews.com,-1,HIGH,whitelist
knoxville news sentinel,https://www.knoxnews.com,-12,HIGH,whitelist
koco news 5,http://www.koco.com/,-7,HIGH,whitelist
kotaku,https://kotaku.com,-13,HIGH,whitelist
kuow npr,http://kuow.org/,-10,HIGH,whitelist
kutv salt lake city,http://kutv.com/,10,HIGH,whitelist
la presse,http://www.lapresse.ca/,-16,HIGH,whitelist
la times (los angeles times),http://www.latimes.com/,-14,HIGH,whitelist
las vegas review-journal,http://www.reviewjournal.com/,12,HIGH,whitelist
latin times,http://www.latintimes.com/,-8,HIGH,whitelist
lavender magazine,http://www.lavendermagazine.com/,-22,HIGH,whitelist
law newz,http://lawnewz.com/,-11,HIGH,whitelist
lawfare blog,https://www.lawfareblog.com/,-13,HIGH,whitelist
le devoir,http://www.ledevoir.com/,1,HIGH,whitelist
lead stories,https://leadstories.com/,-2,VERY HIGH,whitelist
learn liberty,http://www.learnliberty.org/,8,HIGH,whitelist
left action,http://leftaction.com/,-25,HIGH,whitelist
left foot forward,https://leftfootforward.org/,-23,HIGH,whitelist
left justified,http://www.leftjustified.com/,-9,HIGH,whitelist
left voice,http://www.leftvoice.org,-22,HIGH,whitelist
left wing nation,http://leftwingnation.org/,-28,HIGH,whitelist
lethbridge herald,http://lethbridgeherald.com/,-12,HIGH,whitelist
lexington herald leader,http://www.kentucky.com/,-10,HIGH,whitelist
lexington institute,http://lexingtoninstitute.org/,8,HIGH,whitelist
lgbtq nation,http://www.lgbtqnation.com/,-18,HIGH,whitelist
libcom.org,http://libcom.org,-28,HIGH,whitelist
liberal mountain,http://www.liberalmountain.com/,-16,HIGH,whitelist
liberation news,https://www.liberationnews.org/,-22,HIGH,whitelist
liberty viral,https://libertyviral.com/,13,HIGH,whitelist
lifehacker,https://lifehacker.com/,-10,HIGH,whitelist
lima charlie news,https://limacharlienews.com,2,HIGH,whitelist
lincoln journal star,http://journalstar.com/,-2,HIGH,whitelist
listverse,http://listverse.com/,-3,HIGH,whitelist
liveleak,https://www.liveleak.com/,-12,HIGH,whitelist
lompoc record,http://lompocrecord.com/,1,HIGH,whitelist
london evening standard,http://www.standard.co.uk/,15,HIGH,whitelist
longview news-journal,https://www.news-journal.com,2,HIGH,whitelist
los angeles daily news,http://www.dailynews.com/,6,HIGH,whitelist
mackinac center for public policy,http://www.mackinac.org/,10,HIGH,whitelist
maclean’s magazine,http://www.macleans.ca/,-11,HIGH,whitelist
maine beacon,http://mainebeacon.com/,-9,HIGH,whitelist
makeuseof,https://www.makeuseof.com/,-2,HIGH,whitelist
manhattan institute for policy research,http://www.manhattan-institute.org/,10,HIGH,whitelist
maplight,http://maplight.org/,-2,VERY HIGH,whitelist
marketwatch,http://www.marketwatch.com/,0,HIGH,whitelist
mashable,http://mashable.com/,-20,HIGH,whitelist
mcclatchydc,http://www.mcclatchydc.com/,-4,HIGH,whitelist
media matters,http://mediamatters.org/,-24,HIGH,whitelist
mediafile,http://www.mediafiledc.com,-12,HIGH,whitelist
mediaite,http://www.mediaite.com/,-23,HIGH,whitelist
mediashift,http://mediashift.org/,-4,HIGH,whitelist
meduza,https://meduza.io/en,-19,HIGH,whitelist
mental floss,http://mentalfloss.com/,-2,HIGH,whitelist
mercatornet,https://www.mercatornet.com,28,HIGH,whitelist
mercopress,http://en.mercopress.com/,-1,HIGH,whitelist
merion west,http://merionwest.com/,5,HIGH,whitelist
merry jane,https://www.merryjane.com/,-20,HIGH,whitelist
metabunk,https://www.metabunk.org/,-3,HIGH,whitelist
metro uk,http://metro.co.uk/,-14,HIGH,whitelist
metro,http://www.metro.us/,-10,HIGH,whitelist
mexico daily news,http://mexiconewsdaily.com/,-13,HIGH,whitelist
miami herald,http://www.miamiherald.com/,-10,HIGH,whitelist
miami new times,http://www.miaminewtimes.com/,-23,HIGH,whitelist
mic,https://mic.com/,-14,HIGH,whitelist
migration policy institute,https://www.migrationpolicy.org,-10,HIGH,whitelist
military times,http://www.militarytimes.com/,8,HIGH,whitelist
military.com,http://www.military.com/,3,HIGH,whitelist
milwaukee journal-sentinel,http://www.jsonline.com/,-9,HIGH,whitelist
minneapolis star tribune,http://www.startribune.com/,-9,HIGH,whitelist
minnesota public radio (mpr),https://www.mprnews.org/,-11,HIGH,whitelist
minnpost,https://www.minnpost.com,-11,HIGH,whitelist
missoulian,http://missoulian.com/,-3,HIGH,whitelist
mlive (michigan – booth newspapers),http://www.mlive.com/,-1,HIGH,whitelist
molad the center for the renewal of israeli democracy,http://www.molad.org/en/,-20,HIGH,whitelist
mondoweiss,http://mondoweiss.net/,-18,HIGH,whitelist
mongabay,https://news.mongabay.com,-12,HIGH,whitelist
montana standard,http://mtstandard.com,-3,HIGH,whitelist
monthly review,http://monthlyreview.org/,-13,HIGH,whitelist
montreal gazette,http://montrealgazette.com/,-12,HIGH,whitelist
morning consult,https://morningconsult.com/,-13,HIGH,whitelist
moscow times,https://themoscowtimes.com/,-14,HIGH,whitelist
mother jones,http://www.motherjones.com/,-23,HIGH,whitelist
mother nature network,https://www.mnn.com,-15,HIGH,whitelist
mountain democrat,https://www.mtdemocrat.com,-8,HIGH,whitelist
ms. (magazine),http://www.msmagazine.com/,-20,HIGH,whitelist
msn.com,http://www.msn.com/,-9,HIGH,whitelist
muncie voice,http://www.muncievoice.com/,-15,HIGH,whitelist
mwc news – media with conscience,http://mwcnews.net/,-12,HIGH,whitelist
mynorthwest,http://mynorthwest.com,12,HIGH,whitelist
naked capitalism,http://www.nakedcapitalism.com/,-12,HIGH,whitelist
napa valley register,http://napavalleyregister.com,2,HIGH,whitelist
national affairs magazine,https://www.nationalaffairs.com,9,HIGH,whitelist
national association for the advancement of colored people (naacp),http://www.naacp.org/,-17,HIGH,whitelist
national bureau of economic research (nber),http://www.nber.org/,1,HIGH,whitelist
national center for transgender equality (ncte),https://transequality.org,-15,HIGH,whitelist
national institute on money in state politics,https://www.followthemoney.org/,-4,HIGH,whitelist
national interest,http://nationalinterest.org/,6,HIGH,whitelist
national journal,https://www.nationaljournal.com/,-4,HIGH,whitelist
national monitor,http://natmonitor.com/,-15,HIGH,whitelist
national newswatch,http://www.nationalnewswatch.com/,-8,HIGH,whitelist
national observer (canada),http://www.nationalobserver.com/,-15,HIGH,whitelist
national post,http://www.nationalpost.com/index.html,13,HIGH,whitelist
national youth rights association,http://www.youthrights.org/,-8,HIGH,whitelist
nationmaster,http://www.nationmaster.com,-1,VERY HIGH,whitelist
natural resource governance institute,http://www.resourcegovernance.org/,-11,HIGH,whitelist
natural resources defense council,https://www.nrdc.org/,-14,HIGH,whitelist
nature conservancy,https://www.nature.org,-9,HIGH,whitelist
nbc news,http://www.nbcnews.com/,-14,HIGH,whitelist
nc policy watch,http://www.ncpolicywatch.com/,-14,HIGH,whitelist
ndtv,https://www.ndtv.com/,-12,HIGH,whitelist
need 2 know,http://theneed2know.com/,-5,HIGH,whitelist
netherlands radio and television association (nos),https://nos.nl,7,HIGH,whitelist
new america,https://www.newamerica.org/,-3,HIGH,whitelist
new bern sun journal,http://www.newbernsj.com/,-4,HIGH,whitelist
new england cable news (necn),http://www.necn.com/,-9,HIGH,whitelist
new europe,https://www.neweurope.eu/,-13,HIGH,whitelist
new internationalist,https://newint.org/,-22,HIGH,whitelist
new left review,https://newleftreview.org/,-14,HIGH,whitelist
new matilda,https://newmatilda.com/,-13,HIGH,whitelist
new moderate,https://newmoderate.com/,-11,HIGH,whitelist
new politics magazine,http://newpol.org/,-19,HIGH,whitelist
new republic,https://newrepublic.com/,-20,HIGH,whitelist
new revolution now,http://www.newrevolutionnow.org/,22,HIGH,whitelist
new statesman,http://www.newstatesman.com/,-22,HIGH,whitelist
new york magazine,http://nymag.com/,-22,HIGH,whitelist
new york observer,http://observer.com/,20,HIGH,whitelist
new york times,https://www.nytimes.com/,-12,HIGH,whitelist
new yorker,http://www.newyorker.com/,-23,HIGH,whitelist
new zealand herald,http://www.nzherald.co.nz,1,HIGH,whitelist
news and guts,https://www.newsandgutsmedia.com/,-13,HIGH,whitelist
news channel 4 (kfor.com),http://kfor.com/,-8,HIGH,whitelist
news deeply,https://www.newsdeeply.com,-16,HIGH,whitelist
news lookup,http://www.newslookup.com,-1,HIGH,whitelist
news rescue,http://newsrescue.com/,11,HIGH,whitelist
news-gazette,http://www.news-gazette.com/,8,HIGH,whitelist
news.com.au,http://www.news.com.au/,-12,HIGH,whitelist
news24 (south africa),http://www.news24.com/,2,HIGH,whitelist
newsday,http://www.newsday.com/,-15,HIGH,whitelist
newsela,https://newsela.com/,-3,HIGH,whitelist
newser,http://www.newser.com,-9,HIGH,whitelist
newsone,https://newsone.com/,-16,HIGH,whitelist
newsy,http://www.newsy.com/,-10,HIGH,whitelist
next avenue,http://www.nextavenue.org/,-5,HIGH,whitelist
nextgov,http://www.nextgov.com/,-2,HIGH,whitelist
nhk world,https://www3.nhk.or.jp/nhkworld/,-2,HIGH,whitelist
niskanen center,https://niskanencenter.org,-5,HIGH,whitelist
nk news,https://www.nknews.org,-4,HIGH,whitelist
no labels,https://www.nolabels.org/,-3,HIGH,whitelist
noozhawk,https://www.noozhawk.com/,-4,HIGH,whitelist
north99,https://north99.org/,-24,HIGH,whitelist
northwest indiana times,http://www.nwitimes.com,2,HIGH,whitelist
novinite,http://www.novinite.com/,-4,HIGH,whitelist
now magazine,https://nowtoronto.com/,-18,HIGH,whitelist
npr (national public radio),http://www.npr.org/sections/news/,-9,VERY HIGH,whitelist
ntd.tv (new tang dynasty),http://www.ntd.tv/,14,HIGH,whitelist
oc weekly,http://www.ocweekly.com/,-12,HIGH,whitelist
odessa american,http://www.oaoa.com,10,HIGH,whitelist
oil and water don’t mix,http://www.oilandwaterdontmix.org/,-8,HIGH,whitelist
oil price,http://oilprice.com/,8,HIGH,whitelist
omaha world-herald,http://www.omaha.com/,10,HIGH,whitelist
ontario proud,https://www.ontarioproud.ca,24,HIGH,whitelist
open the government,http://www.openthegovernment.org/,-3,HIGH,whitelist
opendemocracy,https://www.opendemocracy.net/,-15,HIGH,whitelist
opposing views,http://www.opposingviews.com/,-14,HIGH,whitelist
orange county register,http://www.ocregister.com/,11,HIGH,whitelist
oregonian,http://www.oregonlive.com/#/0,12,HIGH,whitelist
orlando sentinel,http://www.orlandosentinel.com/,10,HIGH,whitelist
ottawa citizen,http://ottawacitizen.com/,10,HIGH,whitelist
our voice ny,https://ourvoiceny.com,-25,HIGH,whitelist
our world in data,https://ourworldindata.org,-8,HIGH,whitelist
outside the beltway,http://www.outsidethebeltway.com/,-11,HIGH,whitelist
oyez project,https://www.oyez.org,-1,VERY HIGH,whitelist
ozy media,http://www.ozy.com/,-13,HIGH,whitelist
pacific daily news,https://www.guampdn.com/,-3,HIGH,whitelist
pacific research institute,http://www.pacificresearch.org/home/,9,HIGH,whitelist
pacific standard magazine,https://psmag.com/,-10,HIGH,whitelist
panam post,https://panampost.com/,-12,HIGH,whitelist
parallax news (pxw),http://parallax.news/,0,HIGH,whitelist
paste magazine,https://www.pastemagazine.com/,-21,HIGH,whitelist
patch,https://patch.com/,-2,HIGH,whitelist
patriotic millionaires,https://patrioticmillionaires.org,-12,HIGH,whitelist
pbs news hour,http://www.pbs.org/newshour/,-10,HIGH,whitelist
peacock panache,http://www.peacock-panache.com,-27,HIGH,whitelist
peninsula daily news,http://www.peninsuladailynews.com/,8,HIGH,whitelist
pensacola news journal,https://www.pnj.com,-4,HIGH,whitelist
people for the american way (pfaw),http://www.pfaw.org,-19,HIGH,whitelist
people magazine,http://people.com/politics/,-20,HIGH,whitelist
peterson foundation,http://www.pgpf.org/,1,HIGH,whitelist
peterson institute for international economics,https://piie.com/,2,HIGH,whitelist
pew research,http://www.pewresearch.org/,-1,VERY HIGH,whitelist
philadelphia inquirer,http://www.philly.com/inquirer/,-11,HIGH,whitelist
philadelphia tribune,http://www.phillytrib.com/,-11,HIGH,whitelist
philippine daily inquirer,https://www.inquirer.net/,-8,HIGH,whitelist
phoenix new times,http://www.phoenixnewtimes.com/,-16,HIGH,whitelist
pinac,https://photographyisnotacrime.com/,-18,HIGH,whitelist
pink news,http://www.pinknews.co.uk/home/,-20,HIGH,whitelist
pittsburgh post-gazette,http://www.post-gazette.com/,7,HIGH,whitelist
pittsburgh tribune review,http://triblive.com/,10,HIGH,whitelist
places journal,https://placesjournal.org/,-3,VERY HIGH,whitelist
pluralist,https://www.pluralist.com,-11,HIGH,whitelist
policy review,http://www.hoover.org/publications/policy-review,22,HIGH,whitelist
policyed,https://www.policyed.org/,16,HIGH,whitelist
political critique,http://politicalcritique.org/,-13,HIGH,whitelist
political storm,http://www.politicalstorm.com/,5,HIGH,whitelist
politico,http://www.politico.com/,-15,HIGH,whitelist
politics that work,http://politicsthatwork.com/,-15,HIGH,whitelist
politicususa,http://www.politicususa.com/,-23,HIGH,whitelist
politifact,http://www.politifact.com/,-4,HIGH,whitelist
politisite,http://politi.site,24,HIGH,whitelist
polygraph.info,http://www.polygraph.info/,-2,VERY HIGH,whitelist
population connection,http://www.populationconnection.org,-15,HIGH,whitelist
portland press-herald,http://www.pressherald.com/,-7,HIGH,whitelist
positive news,https://www.positive.news,-12,HIGH,whitelist
post-bulletin,http://www.postbulletin.com/,6,HIGH,whitelist
power line,http://www.powerlineblog.com/,24,HIGH,whitelist
poynter institute,http://www.poynter.org/,-4,VERY HIGH,whitelist
pr newswire,http://prnewswire.mediaroom.com/,-1,HIGH,whitelist
press progress,https://www.pressprogress.ca/,-20,HIGH,whitelist
procon.org,https://www.procon.org/,-2,HIGH,whitelist
progressive army,http://progressivearmy.com,-22,HIGH,whitelist
project censored,http://projectcensored.org/,-19,HIGH,whitelist
project on government oversight,http://pogo.org/,-4,VERY HIGH,whitelist
project syndicate,https://www.project-syndicate.org/,-2,HIGH,whitelist
propublica,https://www.propublica.org/,-13,HIGH,whitelist
prospect magazine,http://www.prospectmagazine.co.uk/,-11,HIGH,whitelist
public citizen,https://www.citizen.org/,-13,HIGH,whitelist
public policy polling (ppp),http://www.publicpolicypolling.com/,0,VERY HIGH,whitelist
public radio international (pri),http://www.pri.org/,-13,HIGH,whitelist
public religion research institute (prri),http://www.prri.org/,2,VERY HIGH,whitelist
punchingbag post,http://punchingbagpost.com/,13,HIGH,whitelist
putintrump.org,http://putintrump.org/,-20,HIGH,whitelist
quad city times,http://qctimes.com/,-4,HIGH,whitelist
quartz,http://qz.com/,-11,HIGH,whitelist
queerty,https://www.queerty.com,-20,HIGH,whitelist
quillette,http://quillette.com/,11,HIGH,whitelist
r street institute,http://www.rstreet.org/,10,HIGH,whitelist
rabble.ca,http://rabble.ca/,-25,HIGH,whitelist
radio free asia,http://www.rfa.org/english/,-7,HIGH,whitelist
radio free europe / radio liberty,https://www.rferl.org,-2,HIGH,whitelist
raleigh news and observer,http://www.newsobserver.com/,-9,HIGH,whitelist
rand corporation,https://www.rand.org,-4,HIGH,whitelist
rantt media,https://rantt.com,-19,HIGH,whitelist
rapid city journal,http://rapidcityjournal.com,-3,HIGH,whitelist
rare news,http://rare.us/,9,HIGH,whitelist
rasmussen reports,http://www.rasmussenreports.com/,7,HIGH,whitelist
rationalwiki,http://rationalwiki.org/wiki/Main_Page,-11,HIGH,whitelist
reading the pictures,http://www.readingthepictures.org,-20,HIGH,whitelist
real clear defense,http://www.realcleardefense.com/,10,HIGH,whitelist
real clear policy,http://www.realclearpolicy.com/,9,HIGH,whitelist
real clear politics,http://www.realclearpolitics.com/,9,HIGH,whitelist
real news network,http://therealnews.com/t2/,-19,HIGH,whitelist
realclearreligion,https://www.realclearreligion.org,9,HIGH,whitelist
reason,http://reason.com/,14,HIGH,whitelist
recode,https://www.recode.net/,-1,HIGH,whitelist
red pepper,http://www.redpepper.org.uk/,-29,HIGH,whitelist
red river valley news,http://www.valleynewslive.com/,8,HIGH,whitelist
red state disaster,https://redstatedisaster.com,-23,HIGH,whitelist
relevant magazine,https://relevantmagazine.com,3,HIGH,whitelist
religion news service (rns),http://religionnews.com,-11,HIGH,whitelist
remington research group,https://remingtonresearchgroup.com,6,HIGH,whitelist
reporters lab,http://reporterslab.org/,-1,VERY HIGH,whitelist
reporters without borders,https://rsf.org/en,-5,HIGH,whitelist
represent.us,https://represent.us/,-5,HIGH,whitelist
restore american glory,http://www.restoreamericanglory.com/,26,HIGH,whitelist
reuters,http://www.reuters.com/,-3,VERY HIGH,whitelist
reveal – center for investigative reporting,https://www.revealnews.org/,-7,HIGH,whitelist
reverb press,http://reverbpress.news/,-22,HIGH,whitelist
revere press,http://reverepress.com,-27,HIGH,whitelist
revolution news,http://revolution-news.com/,-20,HIGH,whitelist
rewire,https://rewire.news/,-18,HIGH,whitelist
richmond times-dispatch,http://www.richmond.com/,10,HIGH,whitelist
right web,http://rightweb.irc-online.org,-13,HIGH,whitelist
ring of fire,https://trofire.com/,-27,HIGH,whitelist
riverbender.com,https://www.riverbender.com/,-2,HIGH,whitelist
roanoke times,http://www.roanoke.com/,-8,HIGH,whitelist
roll call,http://www.rollcall.com/,-4,VERY HIGH,whitelist
rolling stone,http://www.rollingstone.com/,-16,HIGH,whitelist
roosevelt institute,http://rooseveltinstitute.org/,-12,HIGH,whitelist
rte (radio television of ireland),https://www.rte.ie,-3,HIGH,whitelist
rudaw,http://rudaw.net/english,-10,HIGH,whitelist
russian media monitor,http://www.russialies.com,-5,HIGH,whitelist
russian news agency-tass,http://tass.com/,10,HIGH,whitelist
sacramento bee,http://www.sacbee.com/,-11,HIGH,whitelist
salem radio network news (srn news),http://www.srnnews.com/,8,HIGH,whitelist
salon,http://www.salon.com/,-25,HIGH,whitelist
salt lake tribune,http://www.sltrib.com/,-10,HIGH,whitelist
san antonio express-news,http://www.mysanantonio.com/,-9,HIGH,whitelist
san bernardino sun,https://www.sbsun.com,9,HIGH,whitelist
san diego free press,https://sandiegofreepress.org/,-15,HIGH,whitelist
san diego reader,https://www.sandiegoreader.com,-14,HIGH,whitelist
san diego union tribune,http://www.sandiegouniontribune.com/,-5,HIGH,whitelist
san francisco chronicle,http://www.sfchronicle.com/,-14,HIGH,whitelist
san francisco examiner,http://www.sfexaminer.com,-13,HIGH,whitelist
san jose mercury news,http://www.mercurynews.com/,-13,HIGH,whitelist
santa barbara independent,http://www.independent.com/,-12,HIGH,whitelist
santa maria times,http://santamariatimes.com,2,HIGH,whitelist
sarasota herald-tribune,http://www.heraldtribune.com/,-3,HIGH,whitelist
saskatoon starphoenix,http://thestarphoenix.com/,12,HIGH,whitelist
saudi gazette,http://saudigazette.com.sa,-8,HIGH,whitelist
savannah morning news,http://savannahnow.com/,10,HIGH,whitelist
save jersey,https://savejersey.com,24,HIGH,whitelist
sayfie review,http://www.sayfiereview.com/,-1,HIGH,whitelist
scary mommy,http://www.scarymommy.com/,-18,HIGH,whitelist
science debate,http://sciencedebate.org/,-3,VERY HIGH,whitelist
scoopnest,http://www.scoopnest.com/,-1,HIGH,whitelist
scotusblog,http://www.scotusblog.com/,-3,HIGH,whitelist
scroll.in,https://scroll.in/,-10,HIGH,whitelist
seattle post-intelligencer,http://www.seattlepi.com/,-13,HIGH,whitelist
seattle times,http://www.seattletimes.com/,-14,HIGH,whitelist
sentencing project,https://www.sentencingproject.org/,-15,HIGH,whitelist
sfgate,http://www.sfgate.com/,-14,HIGH,whitelist
shadow proof,https://shadowproof.com,-26,HIGH,whitelist
shame project,http://shameproject.com/,-12,HIGH,whitelist
shareably,http://www.shareably.net/,0,HIGH,whitelist
shorenstein center,https://shorensteincenter.org/,-3,HIGH,whitelist
simple politics,http://www.simplepolitics.co.uk,0,HIGH,whitelist
sioux city journal,http://siouxcityjournal.com/,-4,HIGH,whitelist
sky news,http://news.sky.com/,-12,HIGH,whitelist
slate,http://www.slate.com/,-23,HIGH,whitelist
smirking chimp,http://www.smirkingchimp.com/,-22,HIGH,whitelist
snopes,http://www.snopes.com/,-3,HIGH,whitelist
socialist standard,http://www.worldsocialism.org/spgb/,-24,HIGH,whitelist
socialistworker.org,https://socialistworker.org/,-27,HIGH,whitelist
sofrep,https://sofrep.com/,11,HIGH,whitelist
sojourners (soho),https://sojo.net/,-12,HIGH,whitelist
sootoday.com,https://www.sootoday.com/,-13,HIGH,whitelist
sourcewatch,http://www.sourcewatch.org/index.php/SourceWatch,-20,HIGH,whitelist
south bend tribune,https://www.southbendtribune.com/,-4,HIGH,whitelist
south china morning post,http://www.scmp.com/,-4,HIGH,whitelist
south florida sun-sentinel,http://www.sun-sentinel.com/,8,HIGH,whitelist
southern poverty law center,https://www.splcenter.org/,-11,HIGH,whitelist
special broadcasting service (sbs),http://www.sbs.com.au/,-8,HIGH,whitelist
spectrum news – ny1,http://www.ny1.com/nyc/all-boroughs,-3,HIGH,whitelist
spiegel online,http://www.spiegel.de/international/,-11,HIGH,whitelist
st. cloud times,http://www.sctimes.com/,-4,HIGH,whitelist
st. louis post-dispatch,http://www.stltoday.com/,-10,HIGH,whitelist
st. paul pioneer press,http://www.twincities.com/,-8,HIGH,whitelist
st. pete for peace,https://www.stpete4peace.org/,-19,HIGH,whitelist
star-ledger,http://www.nj.com/starledger/,-14,HIGH,whitelist
stars and stripes,https://www.stripes.com/,0,HIGH,whitelist
stat (news),https://www.statnews.com/,-4,HIGH,whitelist
staten island advance,http://www.silive.com/,-11,HIGH,whitelist
statesman journal,http://www.statesmanjournal.com/,8,HIGH,whitelist
stimson center,http://stimson.org/,-1,HIGH,whitelist
stock news usa,https://stocknewsusa.com,-4,HIGH,whitelist
stopfake,http://www.stopfake.org/,-12,HIGH,whitelist
strategic culture foundation,http://www.strategic-culture.org/,11,HIGH,whitelist
strategypage,https://www.strategypage.com,2,HIGH,whitelist
stratfor,https://www.stratfor.com/,-3,HIGH,whitelist
student daily news,https://www.studentnewsdaily.com/,11,HIGH,whitelist
stuff,https://www.stuff.co.nz/,-9,HIGH,whitelist
sunlight foundation,http://sunlightfoundation.com/,-1,VERY HIGH,whitelist
swarajya,https://swarajyamag.com/,11,HIGH,whitelist
swi – swissinfo.ch,https://www.swissinfo.ch/,-8,HIGH,whitelist
syrian observatory for human rights (sohr),http://www.syriahr.com/en/,-14,HIGH,whitelist
tablet magazine,http://www.tabletmag.com/,-14,HIGH,whitelist
taipei times,http://www.taipeitimes.com/,-4,HIGH,whitelist
taiwan news,https://www.taiwannews.com.tw/,-4,HIGH,whitelist
takepart,http://www.takepart.com/,-22,HIGH,whitelist
talking points memo,http://talkingpointsmemo.com/,-21,HIGH,whitelist
tallahassee democrat,http://www.tallahassee.com/,7,HIGH,whitelist
tampa bay times,http://www.tampabay.com/,-11,HIGH,whitelist
tampa tribune,http://www.tbo.com/,13,HIGH,whitelist
task and purpose,http://taskandpurpose.com/,-4,HIGH,whitelist
tax foundation,http://taxfoundation.org/,7,VERY HIGH,whitelist
tax justice network,https://www.taxjustice.net/,-11,HIGH,whitelist
tax policy center,http://www.taxpolicycenter.org,-8,HIGH,whitelist
tea party patriots,http://www.teapartypatriots.org/,20,HIGH,whitelist
tea party tribune,http://www.teapartytribune.com/,28,HIGH,whitelist
techcrunch,https://techcrunch.com,-14,HIGH,whitelist
techdirt,https://www.techdirt.com,-14,HIGH,whitelist
texas monthly,https://www.texasmonthly.com,-12,HIGH,whitelist
texas standard,http://www.texasstandard.org/,-2,HIGH,whitelist
