domain,url,bias_rating,factual_reporting_rating,category
being liberal,https://www.themaven.net/beingliberal,-27,HIGH,whitelist
being libertarian,https://beinglibertarian.com/,23,HIGH,whitelist
bellingcat,https://www.bellingcat.com/,0,HIGH,whitelist
berkeleyside,http://www.berkeleyside.com,-13,HIGH,whitelist
berkshire eagle,http://www.berkshireeagle.com/,-11,HIGH,whitelist
better government association,http://www.bettergov.org/,-5,HIGH,whitelist
big think,http://bigthink.com/,-2,VERY HIGH,whitelist
billings gazette,http://billingsgazette.com,7,HIGH,whitelist
billmoyers.com,http://billmoyers.com/,-9,VERY HIGH,whitelist
bipartisan policy center,https://bipartisanpolicy.org,9,HIGH,whitelist
bismarck tribune,http://bismarcktribune.com,1,HIGH,whitelist
bitch media,https://bitchmedia.org/,-22,HIGH,whitelist
black agenda report,http://blackagendareport.com/,-22,HIGH,whitelist
black lives matter,http://blacklivesmatter.com/,-21,HIGH,whitelist
bloomberg news,https://www.bloomberg.com/,-8,HIGH,whitelist
blue lives matter,http://bluelivesmatter.blue/,24,HIGH,whitelist
bluestem prairie,http://www.bluestemprairie.com/,-13,HIGH,whitelist
bno news,http://bnonews.com/,-3,HIGH,whitelist
boing boing,http://boingboing.net/,-19,HIGH,whitelist
boston globe,https://www.bostonglobe.com/,-11,HIGH,whitelist
boston herald,http://www.bostonherald.com/,9,HIGH,whitelist
boy genius report (bgr),http://bgr.com/,-10,HIGH,whitelist
breaking defense,http://breakingdefense.com/,13,HIGH,whitelist
breakthrough institute,https://thebreakthrough.org,8,HIGH,whitelist
brennan center for justice,https://www.brennancenter.org/,-15,HIGH,whitelist
bridge magazine,http://www.bridgemi.com,-2,HIGH,whitelist
brief.news,http://www.brief.news/,-1,HIGH,whitelist
brookings institute,https://www.brookings.edu/,-14,VERY HIGH,whitelist
buffalo news,http://www.buffalonews.com/,-12,HIGH,whitelist
bulletin of the atomic scientists,http://thebulletin.org/,-5,VERY HIGH,whitelist
bullshido,http://www.bullshido.net/,-3,HIGH,whitelist
business 2 community,http://www.business2community.com/,-2,HIGH,whitelist
business insider,http://www.businessinsider.com/,-11,HIGH,whitelist
bust magazine,http://bust.com/,-23,HIGH,whitelist
bustle magazine,https://www.bustle.com/,-14,HIGH,whitelist
c-span,http://www.c-span.org/,-1,VERY HIGH,whitelist
calgary herald,http://calgaryherald.com/,-13,HIGH,whitelist
calgary sun,http://www.calgarysun.com/,13,HIGH,whitelist
california political review,http://www.capoliticalreview.com/,14,HIGH,whitelist
calwatchdog.com,https://calwatchdog.com,-8,HIGH,whitelist
canadaland,http://www.canadalandshow.com,-13,HIGH,whitelist
canadian dimension,https://canadiandimension.com/,-18,HIGH,whitelist
canadian jewish news (cjn),http://www.cjnews.com/,10,HIGH,whitelist
canadian public affairs channel (cpac),http://www.cpac.ca/,-1,HIGH,whitelist
canadian taxpayers federation,http://www.taxpayer.com/,15,HIGH,whitelist
cape cod times,http://www.capecodtimes.com,-4,HIGH,whitelist
capital gazette,http://www.capitalgazette.com/,-12,HIGH,whitelist
capitol fax,https://capitolfax.com,-3,HIGH,whitelist
carbonated tv,http://www.carbonated.tv/,-26,HIGH,whitelist
caribbean life news,https://www.caribbeanlifenews.com/,-13,HIGH,whitelist
carnegie endowment for international peace,http://carnegieendowment.org/,-5,VERY HIGH,whitelist
carolina public press,http://carolinapublicpress.org/,-12,HIGH,whitelist
casper star-tribune,http://trib.com,1,HIGH,whitelist
castanet,http://www.castanet.net/,-4,HIGH,whitelist
